keyword_id,keyword,cluster,target_page,country,device,language,active,valid_from,valid_to,created_at,updated_at,catalogue_version,build_id,approval_status,approved_by,approved_at
k045,shoes for walking all day singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/shoes-for-standing-all-day-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k010,shoes for walking long distances singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/shoes-for-walking-long-distances-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k030,shoes for wide feet singapore,everyday flats & loafers,https://sunnystep.com/blogs/news/shoes-for-wide-feet-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k054,shoes that dont hurt your feet singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-that-dont-hurt-your-feet-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k007,stylish comfortable shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/stylish-comfortable-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k004,walking shoes singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k040,wide fit flats singapore,everyday flats & loafers,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k051,wide toe box flats singapore,foot comfort education & arch support,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k031,wide toe box shoes singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/wide-toe-box-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k020,work heels that dont hurt,work / office comfort shoes,https://sunnystep.com/blogs/news/work-heels-that-dont-hurt,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k016,work shoes for long hours singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/work-shoes-for-long-hours-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
