portfolio_slot,text,strategic_lane,gsc_impressions,gsc_clicks,serper_validation_status,proposed_target_page,proposed_action,decision_reason,id
29,comfortable shoes,product_category,23,1,validated,https://sunnystep.com/,optimize_existing,ting_relabel_v2:promote_to_selected:High-fit brand head with clicks; better commercial primary than thin best-shoe clones—cap broad heads carefully.,236fe0703f8406ea6ba940aeca82150447a9d3075eac873fbea7561f704e11fe
30,office shoes,product_category,55,0,validated,https://sunnystep.com/,optimize_existing,ting_relabel_v2:promote_to_selected:Use-case/audience lane gap; clear transactional category.,691ac504b01f212c19876a5017457ed2300d0bfde84352978bf127fa140cbb28
31,best arch support walking shoes for women,need_state,1,0,validated,https://sunnystep.com/pages/store-locations,optimize_existing,ting_relabel_v2:promote_to_selected:High-fit need-state; restores arch-support coverage after Serper demotion.,5f5a03f9f80b2152af04c4498a7801334fe246a3ba7aaf16d7c808f14a03c18e
32,shoes for heel pain,need_state,2,0,validated,https://sunnystep.com/products/balance-air-sneaker?variant=44204248170556,consolidate_competing_pages,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",2e8b9f7237a8e6f3f1752b578bb5170840584319f3e8414b5c297a2a7b74cea3
33,tampines mall shoe shop,local_store,112,3,validated,https://sunnystep.com/pages/store-locations,optimize_existing,ting_relabel_v2:promote_to_selected:Strong local evidence; preferred Tampines primary over tampines 1 shoe shop near-dupe.,070daebb2018dea5e2cb7a3df5123bc89be205e286324d2d43c2d7f6e4460356
34,comfortable sandals singapore,product_category,22,2,validated,https://sunnystep.com/,optimize_existing,ting_relabel_v2:promote_to_selected:On-brand category × SG; better than vague barefoot-behavior queries.,b42accf81f17a5585b5541641d0d49f9e7f3403b8c4fadd95420c9747c3afbc5
35,jurong point shoe shop,local_store,218,1,validated,https://sunnystep.com/pages/store-locations,optimize_existing,ting_relabel_v2:promote_to_selected:Stronger local evidence alternate; consider swap vs lower-impr mall selected.,84244ff767fffd45a5313664312293b782c9e4e7ac3a904b660331edea48f738
36,causeway point shoe shop,local_store,149,1,validated,https://sunnystep.com/pages/store-locations,optimize_existing,ting_relabel_v2:promote_to_selected:Strong local evidence mall query; restores local quota after trimming weak malls.,b0581c3f152870c490e038ea524791ac51a1d8d0cb4e9819abb5b9c5564203df
37,what are the best shoes for toe pain,need_state,4,1,validated,https://sunnystep.com/products/balance-walker?variant=44204239552572,consolidate_competing_pages,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",a2e2cc1403da4d109a0a5df2ad70ccd6eb97ca01c491ce9fc0450813635752a8
38,sneaker shop singapore,local_store,51,0,validated,https://sunnystep.com/,optimize_existing,"ting_promote_after_serper:ting_promote_awaiting_serper:Local/category hybrid with clearance signal;high_impr_pos_4_10_weak_ctr,multi_page_competition,strong_impression_volume,business_re",d9e3baa7b6fee6241c1a329d90316a684f107d0f552cae74f19ba09844fc7377
39,arch support slippers singapore,need_state,11,0,validated,https://sunnystep.com/,optimize_existing,"ting_promote_after_serper:ting_promote_awaiting_serper:SG need-state × slippers;high_impr_pos_4_10_weak_ctr,multi_page_competition,business_relevant,ga4_unavailable,sunnystep_absent_in_i",6c4d77673689e8d80edbaa616145c444770a1be57e5159d6ba12f3d7da88fcfb
40,home slippers for plantar fasciitis,need_state,10,0,validated,https://sunnystep.com/,optimize_existing,"ting_promote_after_serper:ting_promote_awaiting_serper:Distinct need × product (slippers);high_impr_pos_4_10_weak_ctr,multi_page_competition,business_relevant,ga4_unavailable,sunnystep_a",3d3077e744bc4a44683ffbbdbf82b84cdc5baac5d45e6a7826426d5618dc1b09
41,barefoot shoes singapore,product_category,67,0,validated,https://sunnystep.com/,optimize_existing,"ting_promote_after_serper:ting_promote_awaiting_serper:Emerging category with meaningful impressions;high_impr_pos_4_10_weak_ctr,strong_impression_volume,business_relevant,ga4_unavailabl",f284108f038df1820c9011bb7e25c28deb287fe8961d54332456f08cc4624490
42,best shoes for plantar fasciitis singapore,need_state,3,0,validated,https://sunnystep.com/,optimize_existing,"ting_promote_after_serper:ting_promote_awaiting_serper:Core Sunnystep need-state + SG geo;insufficient_evidence,business_relevant,ga4_unavailable,sunnystep_absent_in_inspected_range,prop",531a536fd9328eb81459e587dd7015fc54144482e5516134c0d13bf4e37a316f
43,best shoes with arch support,need_state,2,0,validated,https://sunnystep.com/,optimize_existing,"ting_promote_after_serper:ting_promote_awaiting_serper:Head need-state primary;insufficient_evidence,business_relevant,ga4_unavailable,sunnystep_absent_in_inspected_range,proposed_target",d276d36525945d49684f12a60d9c8d24c76a927848a8f6a4e07ba49b4734aac9
44,ladies shoes singapore,product_category,26,0,validated,https://sunnystep.com/,optimize_existing,"ting_promote_after_serper:ting_promote_awaiting_serper:Audience × geo product category;high_impr_pos_4_10_weak_ctr,multi_page_competition,business_relevant,ga4_unavailable,sunnystep_abse",a5c4ec8a98f9ac2d22fe51f4b517192a648098235976ac4b7275d4b550ef4780
45,birkenstock singapore,competitor_discovery,621,3,validated,https://sunnystep.com/pages/store-locations,optimize_existing,"ting_relabel_v2:promote_to_selected:True competitor discovery with strong impressions; better use of competitor slot than false ""On""/slip-on.",d842c35d70d5caf1a94b5026527ff3ae793b1e3258e61fab5bf92ae201ebe139
46,another sole singapore,competitor_discovery,223,2,validated,https://sunnystep.com/pages/store-locations,optimize_existing,ting_relabel_v2:promote_to_selected:Local comfort competitor with evidence; valid competitor_discovery primary.,72325b5637f5c873f65c43be94f4966e4e8f3774c7885e6bc4d7a0393d5feea7
47,slip in shoes for women,product_category,1,1,validated,https://sunnystep.com/,optimize_existing,"ting_promote_after_serper:ting_promote_awaiting_serper:True product-category slip-on intent (not competitor On);existing_clicks_worth_protecting,business_relevant,ga4_unavailable,sunnyst",7fb706a15b9ae1b6ba09c7f4e50d53fc96102ef9dbbd01d2b6650e319a5d3605
