question_candidate_id,parent_keyword,source_candidate_id,template_question,phrasing_1,phrasing_2,human_pick,custom_question,proposed_target_page,intent,llm_rationale,risk_flags,reviewed_by,decision,decision_reason
b903c10fefe7930ef5b8351335699d6e16541b097e025f0aaf01eac943f9581e,best mules for walking,3c19f48ce357a93904a809d9ddb001c8369b9b92dfb9cb1b0459d4489151e95f,How do cushioned everyday shoes compare with best mules for walking for all-day comfort?,Are mules comfortable enough for all-day walking compared with cushioned everyday shoes?,How do walking mules compare with cushioned shoes for all-day comfort?,1,,https://sunnystep.com/collections/mules,comparison,Turn keyword-stuffed comparison into a real shopper question.,[],Maliki (coding-agent review),selected,Useful non-competitor comparison for walking mules.
bb09987a19bbc050b8786b61cc57a9d4ebc3709165fbf4f6a3a02970512897b0,flats with cushion and arch support,2c83baf7da2721e295a1ad3eb1bb2b0f6058dd4ba4b6d0e49780d563b4dd283c,How do cushioned everyday shoes compare with flats with cushion and arch support for all-day comfort?,How do cushioned flats with arch support compare with everyday cushioned shoes for all-day wear?,Are cushioned arch-support flats better than regular cushioned shoes for long days?,1,,https://sunnystep.com/products/balance-flex-ballerina?variant=44204229328956,comparison,Preserve comparison intent without awkward keyword glue.,"[""arch_support_ymyl_keep_shopping_frame""]",Maliki (coding-agent review),selected,Clear flats vs cushioned comparison; product target.
ee36b9eb01c4376c861dc13e0fbda06e47f2312014838b7d5c663f37fc5e2aca,loafers for walking,ba39ded65d073bc6a0b0f12e1164f176013fa2738e752c52cb9d3333cf76e0e2,What cushioning and fit features matter most when shopping for loafers for walking?,What cushioning and fit features matter most in loafers for walking?,What should I look for in loafers if I'll be walking a lot?,2,,https://sunnystep.com/products/balance-penny-loafer?variant=44204233687100,feature_education,Natural feature checklist for walking loafers.,[],Maliki (coding-agent review),selected,Feature checklist AIs answer well; product target.
2f688793cdcda594553f13a69ee7f1a299e9d7823fb77272745362a31cc20253,arch support sandals,954b8b5c48b3ebe42504c2e15fb5f7fa6cf965fbeda2faa3575c866ffa16f8cb,What cushioning and fit features matter most when shopping for arch support sandals?,What cushioning and fit features matter most in arch-support sandals?,What should I check for when buying sandals with arch support?,2,,https://sunnystep.com/products/balance-crossover-sandal?variant=44204250824764,feature_education,Feature-education phrasing; avoid medical claims.,"[""arch_support_ymyl_keep_shopping_frame""]",Maliki (coding-agent review),selected,Shopping-frame arch-support sandals; clear SKU.
a9f0cba789d2a140e1a8f92c153c6cb7e502d86851f099dc85bc39203c8e5cc7,most comfortable white sneakers to wear with dresses,5995dabb46a44af398c767d45b9a7817bec089fa0bdbae0cb5bd04fc672e8800,What cushioning and fit features matter most when shopping for most comfortable white sneakers to wear with dresses?,What cushioning and fit features matter in white sneakers I can wear with dresses?,How do I choose comfortable white sneakers that still work with dresses?,2,,https://my.sunnystep.com/products/balance-runner,feature_education,Drop keyword stuffing; keep style+comfort intent.,[],Maliki (coding-agent review),selected,Distinct style use-case; low overlap with other rows.
0e7fd658d22d618e8b2bc1a338ad4217be3cad2ce0f3f4919a12b387b8781ecf,oxford walking shoes,979b94b78c296e2949945f7a0462acce5400e565d7e93945355162edf383c1cb,What oxford walking shoes work for long office days and after-work walks in Singapore?,Which oxford-style walking shoes work for office days and after-work walks in Singapore?,Can oxford walking shoes handle long office days plus walking in Singapore?,1,,https://sunnystep.com/products/balance-oxford,work_lifestyle,Work/lifestyle phrasing tied to oxford walking shoes.,[],Maliki (coding-agent review),selected,Office + walk lifestyle; product target.
17054b97e27372a90606c501c6aaee06daa401b7be2ad7688a6bd4f93b48c6b2,arch support formal shoes,5d6a0086343bc376e5d3f5f2421a94692c5760eeffece3344bc1713cc89d6048,What arch support formal shoes work for long office days and after-work walks in Singapore?,What formal shoes with arch support work for long office days and after-work walks in Singapore?,Can formal shoes with good arch support handle office days plus walking in Singapore?,1,,https://sunnystep.com/products/balance-dress-derby?variant=44204223758396,work_lifestyle,Keep work+walk lifestyle; shopping frame for arch support.,"[""arch_support_ymyl_keep_shopping_frame""]",Maliki (coding-agent review),selected,Formal + arch support lifestyle; keep shopping frame.
8a4c869ecc13b708fa1b3fd0df1a43ebf483658f5363ae4504b44388693aea06,shoes for heel pain,2e8b9f7237a8e6f3f1752b578bb5170840584319f3e8414b5c297a2a7b74cea3,What shoes for heel pain work for long office days and after-work walks in Singapore?,What should I look for in shoes if heel discomfort bothers me on long office days in Singapore?,Which shoe features help with heel discomfort for office days and after-work walks?,1,,https://sunnystep.com/products/balance-air-sneaker?variant=44204248170556,work_lifestyle,"YMYL-safe: shopping/features frame, no treat/cure language.","[""ymyl_heel_pain_shopping_frame_only""]",Maliki (coding-agent review),selected,Real demand; YMYL-safe features/fit framing only (no treat/cure).
cbb0e8bcd0f927d6ac2ae2130d46d71d2f94571bd852a91d6080b8cd939f9723,formal shoe,f4ad5edacc9f0fc9c540d97b6938f8de10ba5479d52d8610b9d150d15edd29a3,What are the most comfortable formal shoe options for everyday wear in Singapore?,What are comfortable formal shoe options for everyday wear in Singapore?,Which formal shoes stay comfortable for daily wear in Singapore?,2,,https://sunnystep.com/products/balance-hazel-loafer?variant=45419533434940,recommendation,Slightly more conversational recommendation phrasing.,[],Maliki (coding-agent review),selected,Broad comfortable-formal probe; answerable.
e5147407895c50e4a43c6b4ca727eb388b57a59746473570959929c8b99880de,sneaker shop singapore,d9e3baa7b6fee6241c1a329d90316a684f107d0f552cae74f19ba09844fc7377,What are the most comfortable sneaker shop options for everyday wear in Singapore?,Where can I find comfortable everyday sneakers in Singapore?,What should I look for when shopping for comfortable sneakers in Singapore?,,,https://sunnystep.com/,recommendation,Rewrite awkward 'sneaker shop options' into shopper language.,[],Maliki (coding-agent review),rejected,Vague sneaker-shop intent; homepage target; overlaps clearer comfort-sneaker questions.
