keyword_id,keyword,cluster,target_page,country,device,language,active,valid_from,valid_to
k019,office loafers singapore,work / office comfort shoes,https://sunnystep.com/collections/loafers,sgp,all,en,1,2026-01-01,
k020,work heels that dont hurt,work / office comfort shoes,https://sunnystep.com/blogs/news/work-heels-that-dont-hurt,sgp,all,en,1,2026-01-01,
k021,shoes for standing all day singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/shoes-for-standing-all-day-singapore,sgp,all,en,1,2026-01-01,
k022,shoes for nurses singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/shoes-for-nurses-singapore,sgp,all,en,1,2026-01-01,
k023,shoes for teachers singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/shoes-for-teachers-singapore,sgp,all,en,1,2026-01-01,
k024,shoes for retail workers singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/shoes-for-standing-all-day-singapore,sgp,all,en,1,2026-01-01,
k025,comfortable commuting shoes singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/comfortable-commuting-shoes-singapore,sgp,all,en,1,2026-01-01,
k026,comfortable flats singapore,everyday flats & loafers,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,
k027,ballet flats singapore,everyday flats & loafers,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,
k028,comfortable loafers singapore,everyday flats & loafers,https://sunnystep.com/collections/loafers,sgp,all,en,1,2026-01-01,
k029,comfortable heels singapore,everyday flats & loafers,https://sunnystep.com/collections/heels,sgp,all,en,1,2026-01-01,
k030,shoes for wide feet singapore,everyday flats & loafers,https://sunnystep.com/blogs/news/shoes-for-wide-feet-singapore,sgp,all,en,1,2026-01-01,
k031,wide toe box shoes singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/wide-toe-box-shoes-singapore,sgp,all,en,1,2026-01-01,
k032,arch support shoes singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/arch-support-shoes-singapore,sgp,all,en,1,2026-01-01,
k033,shoes for foot pain singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-foot-pain-singapore,sgp,all,en,1,2026-01-01,
k034,shoes for aching feet singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-aching-feet-singapore,sgp,all,en,1,2026-01-01,
k035,shoes for plantar fasciitis singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-plantar-fasciitis-singapore,sgp,all,en,1,2026-01-01,
k036,shoes for flat feet singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-flat-feet-singapore,sgp,all,en,1,2026-01-01,
k037,how to tell if you need arch support,foot comfort education & arch support,https://sunnystep.com/blogs/news/how-to-tell-if-you-need-arch-support,sgp,all,en,1,2026-01-01,
k038,benefits of arch support shoes,foot comfort education & arch support,https://sunnystep.com/blogs/news/benefits-of-arch-support-shoes,sgp,all,en,1,2026-01-01,
k039,shoes for bunions singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-bunions-singapore,sgp,all,en,1,2026-01-01,
k040,wide fit flats singapore,everyday flats & loafers,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,
k041,comfortable mules singapore,everyday flats & loafers,https://sunnystep.com/collections/mules,sgp,all,en,1,2026-01-01,
k042,comfortable ballerina flats singapore,everyday flats & loafers,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,
k043,comfortable travel shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/comfortable-travel-shoes-singapore,sgp,all,en,1,2026-01-01,
k044,best travel shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/comfortable-travel-shoes-singapore,sgp,all,en,1,2026-01-01,
k045,shoes for walking all day singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/shoes-for-standing-all-day-singapore,sgp,all,en,1,2026-01-01,
k046,most comfortable walking shoes for women singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,
k047,comfortable leather shoes women singapore,everyday flats & loafers,https://sunnystep.com/collections/all,sgp,all,en,1,2026-01-01,
k048,best shoes for long work hours singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/work-shoes-for-long-hours-singapore,sgp,all,en,1,2026-01-01,
k049,desk to dinner shoes singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/desk-to-dinner-shoes-singapore,sgp,all,en,1,2026-01-01,
k050,comfortable city walking shoes singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,
k051,wide toe box flats singapore,foot comfort education & arch support,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,
k052,most comfortable office shoes singapore,work / office comfort shoes,https://sunnystep.com/collections/work-shoes,sgp,all,en,1,2026-01-01,
k053,comfortable loafers for work singapore,everyday flats & loafers,https://sunnystep.com/collections/loafers,sgp,all,en,1,2026-01-01,
k054,shoes that dont hurt your feet singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-that-dont-hurt-your-feet-singapore,sgp,all,en,1,2026-01-01,
k055,best walking shoes for women singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,
